frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz,voiced,jitter,shimmer,hnr
2.3452,0.003915,2033.98,0.268066,408.333,0,,,
2.3684,0.012267,2476.26,0.218262,408.333,0,,,
2.3917,0.020585,2553.69,0.172852,173.112,0,,,
2.4149,0.024928,2521.48,0.137695,192.269,0,,,
2.4381,0.025793,2626.74,0.13916,180.453,0,,,
2.4613,0.023025,2828.67,0.152832,174.694,0,,,
2.4845,0.016027,3171.79,0.132324,174.855,0,,,
2.5078,0.007695,3643.53,0.129395,175.176,0,,,
2.531,0.000171,3446.27,0.156738,305.074,0,,,
2.5542,2.6e-05,2901.19,0.194824,408.333,0,,,
2.5774,1.3e-05,3092.26,0.270996,408.333,0,,,
2.6006,8e-06,3076.57,0.319336,408.333,0,,,
2.6239,7e-06,3005.92,0.333496,408.333,0,,,
2.6471,7e-06,3130.87,0.333008,408.333,0,,,
2.6703,7e-06,3127.73,0.333984,408.333,0,,,
2.6935,9e-06,3104.69,0.323242,408.333,0,,,
2.7167,0.007464,2191.06,0.279297,408.333,0,,,
2.74,0.016272,2565.63,0.224609,408.333,0,,,
2.7632,0.023518,2537.07,0.179688,181.313,0,,,
2.7864,0.025389,2617.58,0.149414,188.425,0,,,
2.8096,0.024776,2747.75,0.177246,179.508,0,,,
2.8328,0.02012,3024.62,0.166016,174.547,0,,,
2.8561,0.010793,3307.09,0.134766,173.32,0,,,
2.8793,0.004998,4039.64,0.14209,175.925,0,,,
2.9025,7.9e-05,2728.51,0.136719,305.294,0,,,
2.9257,1.9e-05,2929.64,0.19043,408.333,0,,,
2.9489,3.2e-05,2949.81,0.246582,408.333,0,,,
2.9722,0.007248,2715.85,0.240234,408.333,0,,,
2.9954,0.018578,2768.29,0.208008,408.333,0,,,
3.0186,0.028263,2510.59,0.157715,280.584,0,,,
3.0418,0.032723,2323.92,0.116211,177.281,0,,,
3.065,0.033257,2436.61,0.122559,175.658,0,,,
3.0883,0.028613,2801.23,0.208008,172.222,0,,,
3.1115,0.019107,3764.2,0.277832,171.114,0,,,
3.1347,0.009647,4523.27,0.338867,167.294,0,,,
3.1579,0.002297,5238.23,0.376465,379.134,0,,,
3.1811,2.3e-05,3256.73,0.319824,408.333,0,,,
3.2044,0.008164,2274.03,0.268555,408.333,0,,,
3.2276,0.017152,2535.76,0.212402,408.333,0,,,
3.2508,0.023957,2511.9,0.161621,179.719,0,,,
3.274,0.02566,2592.78,0.129883,185.663,0,,,
3.2972,0.024633,2684.1,0.181152,179.445,0,,,
3.3205,0.019475,3007.94,0.17041,174.879,0,,,
3.3437,0.009975,3319.91,0.151367,172.737,0,,,
3.3669,0.003874,4272.09,0.177734,384.598,0,,,
3.3901,4.2e-05,2904.27,0.150879,272.322,0,,,
3.4133,1.8e-05,2963.1,0.202148,408.333,0,,,
3.4366,3.9e-05,2786.56,0.240723,408.333,0,,,
3.4598,0.011608,2258.46,0.217285,408.333,0,,,
3.483,0.022623,2328.76,0.182617,372.487,0,,,
3.5062,0.028131,2299.44,0.13916,129.535,0,,,
3.5294,0.031745,2397.4,0.129395,181.871,0,,,
3.5527,0.032703,2490.98,0.126465,179.909,0,,,
3.5759,0.029588,2585.59,0.122559,176.654,0,,,
3.5991,0.026438,2436.79,0.125977,176.667,0,,,
3.6223,0.024511,2552.92,0.109863,175.711,0,,,
3.6455,0.022918,2692.9,0.103027,175.021,0,,,
3.6688,0.022324,2705.86,0.105957,174.302,0,,,
3.692,0.024598,2389.64,0.099609,86.753,0,,,
3.7152,0.023436,2183.17,0.100586,172.798,0,,,
3.7384,0.02081,2227.26,0.126465,149.555,0,,,
3.7616,0.01664,2478.63,0.176758,148.143,0,,,
3.7849,0.008191,2533.16,0.239746,148.489,0,,,
3.8081,0.002172,3262.67,0.300781,287.154,0,,,
3.8313,1.3e-05,3341.29,0.338379,408.333,0,,,
3.8545,7e-06,3411.89,0.345703,408.333,0,,,
3.8777,7e-06,3200.04,0.337891,408.333,0,,,
3.901,0.00132,4701.53,0.36377,408.333,0,,,
3.9242,0.018122,4867.1,0.383789,408.333,0,,,
3.9474,0.373184,1954.68,0.303223,208.287,1,,,-4.8688
3.9706,0.451056,1623.4,0.240234,209.473,1,,,-7.3723
3.9938,0.468523,1619.74,0.143066,64.853,0,,,
4.0171,0.485461,2419.59,0.041992,64.853,0,,,
4.0403,0.321574,2761.99,0.042969,64.853,0,,,
4.0635,0.218414,2757.6,0.03418,408.333,0,,,
4.0867,0.210241,2756.92,0.039062,64.853,0,,,
4.1099,0.181101,2625.11,0.037598,408.333,0,,,
4.1332,0.184823,2596.78,0.041504,408.333,0,,,
4.1564,0.194532,2585.97,0.05127,289.061,1,,,5.0002
4.1796,0.172453,2482.77,0.04834,288.579,1,0.001668,0.120331,3.8421
4.2028,0.176541,2745.59,0.053223,292.965,1,0.015084,0.023432,4.1158
4.226,0.18263,2790.03,0.057617,298.547,1,0.018873,0.033906,6.3446
4.2493,0.155857,2625.07,0.047852,298.138,1,0.001373,0.158192,6.4543
4.2725,0.162891,3026.2,0.053711,297.241,1,0.003011,0.044135,4.3846
4.2957,0.191489,3253.17,0.070312,64.853,0,,,
4.3189,0.171488,2957.55,0.083496,352.155,1,,,0.4253
4.3421,0.178119,2867.48,0.092773,333.462,1,0.054528,0.037935,3.5445
4.3654,0.179104,3209.78,0.074707,330.059,1,0.010258,0.005513,9.2796
4.3886,0.129623,2861.59,0.067383,395.222,0,,,
4.4118,0.131922,2918.73,0.048828,64.853,0,,,
4.435,0.126823,3129.6,0.04248,64.853,0,,,
4.4582,0.099746,3167.29,0.072266,64.853,0,,,
4.4815,0.10319,3983.16,0.070801,64.853,0,,,
4.5047,0.096305,4140.27,0.069824,408.333,0,,,
4.5279,0.075297,3558.46,0.089844,408.333,0,,,
4.5511,0.075527,3194.0,0.066406,284.129,1,,,1.9289
4.5743,0.068065,3184.54,0.060059,292.783,1,0.030001,0.10394,6.6189
4.5976,0.051183,3069.85,0.09082,294.476,1,0.005765,0.283132,5.0105
4.6208,0.050884,3421.13,0.08252,282.157,1,0.042726,0.005855,2.2127
4.644,0.059028,3447.47,0.111816,281.275,1,0.003132,0.148175,-2.8292
4.6672,0.124863,3200.45,0.131836,287.258,1,0.021047,0.716028,-5.4676
4.6904,0.140371,2912.32,0.104004,317.594,1,0.100311,0.116937,-3.4765
4.7137,0.146228,2525.85,0.091309,77.035,1,1.219168,0.040874,1.323
4.7369,0.14788,2036.24,0.060547,89.752,1,0.152492,0.011231,4.5589
4.7601,0.102774,2082.22,0.035645,91.332,1,0.01746,0.359906,4.2591
4.7833,0.086289,2378.85,0.032715,90.758,1,0.00631,0.174384,3.7907
4.8065,0.080907,2850.1,0.053711,90.139,1,0.006844,0.06438,3.2424
4.8298,0.070955,4323.67,0.053711,90.066,1,0.000805,0.13106,3.8842
4.853,0.062368,4575.37,0.051758,90.133,1,0.00074,0.128827,4.4575
4.8762,0.056627,3564.43,0.055664,89.796,1,0.003749,0.09649,4.2897
4.8994,0.084021,2902.36,0.053711,89.333,1,0.005169,0.389546,-7.2612
4.9226,0.171229,2855.26,0.064453,87.425,1,0.021593,0.683311,0.4492
4.9459,0.196716,2557.88,0.064941,366.136,1,1.228993,0.138539,2.0086
4.9691,0.230677,2268.78,0.070801,301.516,1,0.193574,0.158923,1.9337
4.9923,0.256736,2253.51,0.045898,293.116,1,0.028253,0.106926,5.67
5.0155,0.21957,1627.11,0.032227,408.333,0,,,
5.0387,0.216497,1049.82,0.025391,199.4,1,,,0.8686
5.062,0.20909,954.65,0.01123,184.562,1,,,6.2931
5.0852,0.171062,810.51,0.015625,64.853,0,,,
5.1084,0.179468,875.3,0.010254,207.577,1,,,1.896
5.1316,0.194368,912.94,0.038574,217.923,1,,,3.8538
5.1548,0.185805,2545.52,0.071289,64.853,0,,,
5.178,0.198074,2897.87,0.069824,316.754,1,,,-1.7707
5.2013,0.195892,2517.0,0.069824,317.552,1,0.002516,0.011075,7.5991
5.2245,0.161415,1372.7,0.041992,325.174,1,0.023718,0.19298,3.904
5.2477,0.162867,972.55,0.007324,408.333,0,,,
5.2709,0.156,751.56,0.005371,64.853,0,,,
5.2941,0.137984,1737.67,0.051758,64.853,0,,,
5.3174,0.153764,3860.83,0.052246,64.853,0,,,
5.3406,0.132396,3647.13,0.053223,64.853,0,,,
5.3638,0.113587,1955.08,0.052734,400.405,0,,,
5.387,0.147684,1803.34,0.030762,64.853,0,,,
5.4102,0.151437,3006.91,0.068848,64.853,0,,,
5.4335,0.144848,2970.14,0.108398,319.226,1,,,-3.9205
5.4567,0.147576,2954.55,0.112793,316.8,1,0.007629,0.018656,4.1612
5.4799,0.107423,3609.79,0.091309,223.457,1,0.345553,0.314925,5.8349
5.5031,0.064859,2985.38,0.058594,408.333,0,,,
5.5263,0.062898,1572.89,0.018066,286.228,1,,,4.7743
5.5496,0.046663,1147.24,0.016113,299.893,0,,,
5.5728,0.037835,1029.98,0.020508,313.041,0,,,
5.596,0.036439,1487.08,0.015137,64.853,0,,,
5.6192,0.027035,2755.52,0.099121,64.853,0,,,
5.6424,0.023021,4720.29,0.145508,297.613,0,,,
5.6657,0.022076,5120.67,0.143066,308.088,0,,,
5.6889,0.016292,4376.64,0.166992,309.034,0,,,
5.7121,0.075326,2968.22,0.118164,290.109,1,,,-5.6412
5.7353,0.130605,3020.0,0.085938,296.89,1,0.023104,0.536863,0.6701
5.7585,0.133252,2800.86,0.108398,350.578,1,0.165839,0.02006,2.9724
5.7818,0.134151,2605.36,0.180664,304.311,1,0.141299,0.00673,-0.3855
5.805,0.111576,4213.27,0.207031,284.126,1,0.068605,0.183739,-4.8227
5.8282,0.031911,5210.56,0.230469,289.503,0,,,
5.8514,0.016475,4529.94,0.249023,81.161,0,,,
5.8746,0.100834,3357.78,0.199219,282.492,1,,,-3.3141
5.8979,0.15696,3005.1,0.157227,281.258,1,0.004378,0.435436,0.4999
5.9211,0.187199,2649.3,0.129395,292.042,1,0.037619,0.175728,0.9434
5.9443,0.230776,2299.09,0.084473,291.374,1,0.00229,0.208514,1.3795
5.9675,0.249379,2081.64,0.039551,288.978,1,0.008256,0.077487,5.6129
5.9907,0.229948,1272.34,0.026367,246.63,1,0.158131,0.081078,3.3179
6.014,0.236022,837.7,0.013672,271.935,1,0.097594,0.026074,0.3366
6.0372,0.221496,664.51,0.012207,195.143,1,0.328818,0.063502,4.7271
6.0604,0.18603,497.95,0.010742,218.766,1,0.114145,0.174054,2.5294
6.0836,0.202245,499.94,0.004395,222.111,1,0.015177,0.083522,2.1828
6.1068,0.19085,900.24,0.006348,215.478,1,0.030318,0.057972,7.8552
6.1301,0.168329,1973.89,0.006836,64.853,0,,,
6.1533,0.184741,2295.03,0.006348,408.333,0,,,
6.1765,0.172926,1070.19,0.007324,64.853,0,,,
6.1997,0.154796,384.83,0.004883,64.853,0,,,
6.2229,0.204647,2364.84,0.035645,64.853,0,,,
6.2462,0.195325,2860.84,0.04834,64.853,0,,,
6.2694,0.182,2674.91,0.077148,316.898,1,,,1.0636
6.2926,0.191202,3111.27,0.078613,316.354,1,,,6.4238
6.3158,0.132569,3120.52,0.046387,408.333,0,,,
6.339,0.110385,1254.33,0.035156,408.333,0,,,
6.3623,0.115556,791.0,0.005371,64.853,0,,,
6.3855,0.090516,969.62,0.019531,64.853,0,,,
6.4087,0.081621,3329.0,0.070312,64.853,0,,,
6.4319,0.083444,4411.4,0.072754,64.853,0,,,
6.4551,0.06356,3878.21,0.079102,408.333,0,,,
6.4784,0.057404,2307.53,0.069336,408.333,0,,,
6.5016,0.054589,1336.42,0.019043,291.948,1,,,6.6228
6.5248,0.038511,857.42,0.016602,298.483,0,,,
6.548,0.03365,609.05,0.013184,316.981,0,,,
6.5712,0.031096,1193.03,0.013184,64.853,0,,,
6.5945,0.117029,3342.34,0.070801,64.853,0,,,
6.6177,0.129768,3210.1,0.099121,408.333,0,,,
6.6409,0.130178,3006.59,0.116699,164.954,1,,,-1.9384
6.6641,0.130067,2631.39,0.120605,77.005,1,0.726977,0.000846,1.277
6.6873,0.06037,2102.29,0.072754,221.95,1,0.969679,0.731973,4.0332
6.7106,0.020495,1827.6,0.053223,231.936,0,,,
6.7338,0.019649,2709.39,0.114746,232.713,0,,,
6.757,0.018517,5264.37,0.227051,235.056,0,,,
6.7802,0.017925,5680.15,0.322266,392.787,0,,,
6.8034,0.017322,5728.82,0.416992,67.155,0,,,
6.8267,0.076445,4002.78,0.398438,119.911,1,,,-6.1416
6.8499,0.402878,2294.14,0.277832,225.34,1,0.610743,1.362056,-4.1964
6.8731,0.458649,1550.6,0.179688,311.25,1,0.320205,0.12947,-9.1177
6.8963,0.472068,1155.81,0.08252,64.853,0,,,
6.9195,0.472879,1753.08,0.025879,64.853,0,,,
6.9428,0.277446,2052.68,0.026855,64.853,0,,,
6.966,0.206732,1393.27,0.026855,64.853,0,,,
6.9892,0.192285,1113.38,0.02002,64.853,0,,,
7.0124,0.207719,800.01,0.01416,64.853,0,,,
7.0356,0.218882,627.56,0.01123,64.853,0,,,
7.0589,0.203124,551.84,0.007324,64.853,0,,,
7.0821,0.239807,2104.51,0.030762,64.853,0,,,
7.1053,0.24741,2720.43,0.041016,64.853,0,,,
7.1285,0.232935,2517.62,0.041504,67.74,0,,,
7.1517,0.25016,1499.34,0.039551,64.853,0,,,
7.175,0.234914,563.65,0.016113,64.853,0,,,
7.1982,0.215137,340.7,0.005859,64.853,0,,,
7.2214,0.230828,727.54,0.027832,64.853,0,,,
7.2446,0.232147,2521.5,0.032715,64.853,0,,,
7.2678,0.213057,3125.06,0.032715,64.853,0,,,
7.2911,0.226688,1951.2,0.032715,64.853,0,,,
7.3143,0.249639,571.1,0.011719,64.853,0,,,
7.3375,0.430009,1485.87,0.009277,64.853,0,,,
7.3607,0.468726,1519.8,0.013184,169.506,1,,,-6.3589
7.3839,0.473804,1425.14,0.017578,64.853,0,,,
7.4072,0.454767,1809.7,0.017578,64.853,0,,,
7.4304,0.278731,1896.81,0.017578,64.853,0,,,
7.4536,0.218007,885.1,0.013672,64.853,0,,,
7.4768,0.186446,690.78,0.010254,64.853,0,,,
7.5,0.179818,634.45,0.010254,64.853,0,,,
7.5233,0.171162,688.07,0.006836,64.853,0,,,
7.5465,0.145483,823.12,0.010254,64.853,0,,,
7.5697,0.134352,1982.03,0.012207,67.489,0,,,
7.5929,0.124787,2970.55,0.010742,64.853,0,,,
7.6161,0.104804,2611.4,0.010254,64.853,0,,,
7.6394,0.091389,1040.29,0.006836,64.853,0,,,
7.6626,0.15646,2609.61,0.027832,64.853,0,,,
7.6858,0.163206,2600.69,0.035645,64.853,0,,,
7.709,0.163244,2251.29,0.068848,153.184,1,,,-1.6342
7.7322,0.164803,2629.22,0.074219,153.326,1,0.000929,0.009504,1.7365
7.7555,0.098104,3666.08,0.056152,160.043,1,0.042865,0.507398,1.8266
7.7787,0.069345,2751.66,0.05127,179.595,1,0.115137,0.343494,3.3009
7.8019,0.196208,1156.16,0.021484,182.126,1,0.013994,0.955463,-5.7434
7.8251,0.387675,1169.96,0.019531,179.55,1,0.014245,0.655841,-9.7912
7.8483,0.448056,1165.57,0.01416,142.152,1,0.2325,0.144499,-3.32
7.8716,0.4552,1252.07,0.016602,64.853,0,,,
7.8948,0.421803,1755.51,0.019043,64.853,0,,,
7.918,0.260702,1692.5,0.021973,64.853,0,,,
7.9412,0.146815,1094.24,0.023926,408.333,0,,,
7.9644,0.155803,985.82,0.019043,408.333,0,,,
7.9877,0.147727,770.25,0.016602,121.326,1,,,5.193
8.0109,0.157219,683.2,0.012207,408.333,0,,,
8.0341,0.178088,815.45,0.012207,408.333,0,,,
8.0573,0.16039,1596.71,0.011719,408.333,0,,,
8.0805,0.171447,2030.51,0.008301,408.333,0,,,
8.1038,0.193185,1544.12,0.005371,408.333,0,,,
8.127,0.169239,562.57,0.00293,408.333,0,,,
8.1502,0.202231,1018.03,0.023926,64.853,0,,,
8.1734,0.230038,2804.03,0.040527,64.853,0,,,
8.1966,0.205495,2730.83,0.056641,322.577,1,,,3.3095
8.2199,0.214532,2588.37,0.056152,318.53,1,,,4.1349
8.2431,0.200127,3147.58,0.034668,408.333,0,,,
8.2663,0.149123,1573.02,0.018555,408.333,0,,,
8.2895,0.150424,709.62,0.002441,64.853,0,,,
8.3127,0.143143,1615.33,0.003418,64.853,0,,,
8.336,0.108246,2506.65,0.03418,64.853,0,,,
8.3592,0.109369,3261.84,0.04541,408.333,0,,,
8.3824,0.102395,3509.28,0.04834,408.333,0,,,
8.4056,0.078435,2420.47,0.0625,408.333,0,,,
8.4288,0.077349,1534.62,0.039551,408.333,0,,,
8.4521,0.071309,1643.44,0.033691,351.118,1,,,6.1121
8.4753,0.055457,1605.24,0.043945,347.858,1,0.009327,0.250099,3.0497
8.4985,0.052437,1719.71,0.037598,361.53,1,0.038545,0.055979,0.5752
8.5217,0.094665,2218.94,0.07373,352.884,1,0.024204,0.574133,-4.7706
8.5449,0.136033,3104.62,0.091309,169.835,1,0.700373,0.358634,-4.2073
8.5682,0.145888,2873.01,0.083984,408.333,0,,,
8.5914,0.153279,2456.6,0.077637,77.314,1,,,1.8028
8.6146,0.13641,1632.91,0.035156,89.275,1,0.143597,0.116466,4.6776
8.6378,0.096571,946.28,0.013184,90.851,1,0.017503,0.341994,4.8211
8.661,0.085346,799.99,0.012695,90.257,1,0.00656,0.123409,4.5066
8.6843,0.077164,3185.46,0.035156,89.934,1,0.003591,0.100696,3.084
8.7075,0.066295,4553.87,0.041992,90.799,1,0.009568,0.151523,3.6078
8.7307,0.059894,4500.94,0.042969,89.312,1,0.016506,0.101446,4.6607
8.7539,0.054259,2709.75,0.040527,89.549,1,0.002653,0.098734,4.5255
8.7771,0.139973,2647.96,0.036621,88.148,1,0.01577,0.882592,-2.6402
8.8004,0.184762,2747.18,0.046387,99.319,1,0.11918,0.27585,-0.2123
8.8236,0.206708,2446.07,0.053223,300.268,1,1.005781,0.11212,-0.712
8.8468,0.262102,2187.05,0.053223,303.245,1,0.009866,0.23632,3.0583
8.87,0.25203,2081.22,0.034668,319.859,1,0.053326,0.03918,5.75
8.8932,0.235296,1370.6,0.024414,390.085,0,,,
8.9165,0.246606,1143.08,0.018066,408.333,0,,,
8.9397,0.202145,1065.79,0.02002,391.777,0,,,
8.9629,0.18492,987.37,0.022461,381.7,0,,,
8.9861,0.196973,1078.85,0.016113,388.604,0,,,
9.0093,0.197478,1773.6,0.046875,388.027,0,,,
9.0326,0.196992,2708.56,0.063477,360.445,1,,,-3.5485
9.0558,0.208163,2810.74,0.061035,313.613,1,0.138954,0.055144,4.3042
9.079,0.183973,2114.0,0.061035,314.074,1,0.001468,0.123375,7.0147
9.1022,0.1565,845.78,0.027832,343.194,1,0.088611,0.16138,3.3846
9.1254,0.168211,555.91,0.006348,64.853,0,,,
9.1487,0.138653,464.03,0.030273,91.372,1,,,6.6875
9.1719,0.148491,2323.47,0.050781,64.853,0,,,
9.1951,0.150092,3969.9,0.05127,64.853,0,,,
9.2183,0.115567,3251.78,0.051758,394.953,0,,,
9.2415,0.122591,1354.17,0.024902,64.853,0,,,
9.2648,0.160111,2463.72,0.034668,64.853,0,,,
9.288,0.154982,2923.65,0.069336,408.333,0,,,
9.3112,0.163886,2775.94,0.097168,315.595,1,,,-2.6389
9.3344,0.165297,2621.31,0.111816,317.09,1,0.004727,0.008573,0.5511
9.3576,0.117984,2540.37,0.104004,345.854,1,0.086777,0.334034,1.3434
9.3809,0.110364,2141.29,0.084473,166.556,1,0.699825,0.066741,4.5719
9.4041,0.103958,2404.15,0.077637,175.403,1,0.051747,0.059782,5.0766
9.4273,0.093836,2457.08,0.083008,175.719,1,0.001797,0.102346,5.1307
9.4505,0.087939,2544.13,0.077637,174.997,1,0.004117,0.064881,5.5805
9.4737,0.076177,2464.09,0.09082,174.289,1,0.004054,0.143334,1.2592
9.497,0.060592,2415.66,0.134766,172.637,1,0.009524,0.227915,-2.2766
9.5202,0.046234,3347.22,0.143066,170.052,0,,,
9.5434,0.031572,4017.33,0.141602,151.287,0,,,
9.5666,0.018973,3330.23,0.17627,136.571,0,,,
9.5898,0.103779,3298.28,0.161133,354.283,1,,,-2.0362
9.6131,0.129768,2973.62,0.149414,408.333,0,,,
9.6363,0.131638,2725.75,0.185059,284.064,1,,,2.4452
9.6595,0.132163,2748.02,0.211426,285.119,1,0.003706,0.003984,0.2093
9.6827,0.082791,4582.2,0.209961,288.598,1,0.01213,0.459369,-3.9089
9.7059,0.026852,4904.99,0.26416,275.462,0,,,
9.7292,0.016078,3943.37,0.277832,274.484,0,,,
9.7524,0.142999,3159.84,0.223633,283.488,1,,,0.3743
9.7756,0.174885,2830.18,0.197754,408.333,0,,,
9.7988,0.207769,2527.44,0.143066,297.365,1,,,-2.4997
9.822,0.270787,2340.52,0.08252,296.127,1,0.004173,0.263367,2.3661
9.8453,0.257389,2094.89,0.057129,318.536,1,0.072914,0.05073,3.8444
9.8685,0.257234,1775.89,0.044922,332.858,1,0.043973,0.000606,-0.6089
9.8917,0.268496,1879.54,0.033691,367.388,1,0.098625,0.042844,2.4331
9.9149,0.222602,1810.98,0.041992,176.74,1,0.700749,0.186902,3.1624
9.9381,0.208638,1792.24,0.044922,175.501,1,0.007037,0.064762,0.8177
9.9614,0.21959,1894.04,0.039551,357.402,1,0.682683,0.051148,5.1153
9.9846,0.184313,1881.65,0.045898,356.08,1,0.003705,0.174677,5.628
10.0078,0.177427,2205.02,0.036621,353.165,1,0.008221,0.038073,2.208
10.031,0.191498,2105.05,0.022949,377.033,1,0.065373,0.07628,7.624
10.0542,0.157771,1046.84,0.018555,397.578,0,,,
10.0775,0.16611,625.79,0.015137,408.333,0,,,
10.1007,0.214991,2653.79,0.040039,64.853,0,,,
10.1239,0.191873,2859.4,0.072266,311.396,1,,,-0.032
